elapsed_seconds	service_status	rayclusters
0	Running	week2-rayservice-lzzgr 
2	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
5	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
7	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
9	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
12	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
14	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
16	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
19	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
21	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
23	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
26	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
28	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
31	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
33	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
35	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
38	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
40	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
42	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
45	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
47	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
50	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
52	Running	week2-rayservice-gjjtw week2-rayservice-lzzgr 
