request_id,traffic_class,fairness_id,objective,max_tokens,scheduled_at_s,sent_at_s,launch_lag_s,http_status,outcome,drop_reason,retry_after,ttft_s,e2e_s,mean_itl_s,completion_tokens,error
0,interactive,tenant-a,premium-traffic,64,0.0,0.0011096848174929619,0.0011096848174929619,200,completed,,,0.08680118806660175,1.3639452522620559,0.021267795050516725,64,
1,batch,batch-a,best-effort-traffic,128,0.08333333333333333,0.08412822894752026,0.0007948956141869273,200,completed,,,0.05411464488133788,2.7297725649550557,0.021739606488102334,128,
2,interactive,tenant-a,premium-traffic,64,0.16666666666666666,0.16747950296849012,0.0008128363018234663,200,completed,,,0.05170965287834406,1.3631316418759525,0.021472932900622733,64,
3,batch,batch-b,best-effort-traffic,128,0.25,0.2509065978229046,0.0009065978229045868,200,completed,,,0.06708240834996104,2.800008545164019,0.0222163015173945,128,
4,batch,batch-a,best-effort-traffic,128,0.3333333333333333,0.33439208287745714,0.001058749544123827,200,completed,,,0.05369100393727422,2.8088134741410613,0.022382692823837685,128,
5,interactive,tenant-b,premium-traffic,64,0.4166666666666667,0.4175824271515012,0.0009157604848344936,200,completed,,,0.07155072269961238,1.4349591936916113,0.022318696213855606,64,
6,batch,batch-b,best-effort-traffic,128,0.5,0.5007411707192659,0.0007411707192659378,200,completed,,,0.07334546511992812,2.836694472003728,0.022092525880783795,128,
7,interactive,tenant-a,premium-traffic,64,0.5833333333333334,0.5840921560302377,0.0007588226969043044,200,completed,,,0.07802399899810553,1.4433571817353368,0.022363728393235655,64,
8,batch,batch-a,best-effort-traffic,128,0.6666666666666666,0.6687588919885457,0.0020922253218790265,200,completed,,,0.0729961940087378,2.8498444138094783,0.022198168221861124,128,
9,batch,batch-b,best-effort-traffic,128,0.75,0.7508302149362862,0.000830214936286211,200,completed,,,0.07565936585888267,2.8469301308505237,0.02216755012050271,128,
10,interactive,tenant-a,premium-traffic,64,0.8333333333333334,0.8340502390637994,0.0007169057304660109,200,completed,,,0.06133534200489521,1.435938183683902,0.02251818099776741,64,
11,batch,batch-a,best-effort-traffic,128,0.9166666666666666,0.9175023441202939,0.000835677453627226,200,completed,,,0.06480590486899018,2.8502547037787735,0.022265687733888626,128,
12,interactive,tenant-a,premium-traffic,64,1.0,1.0007886681705713,0.0007886681705713272,200,completed,,,0.09029494179412723,1.4655100340023637,0.02251084868750367,64,
13,batch,batch-b,best-effort-traffic,128,1.0833333333333333,1.0841181320138276,0.000784798680494303,200,completed,,,0.08066475205123425,2.842350095976144,0.022091084752231836,128,
