request_id,traffic_class,fairness_id,objective,max_tokens,scheduled_at_s,sent_at_s,launch_lag_s,http_status,outcome,drop_reason,retry_after,ttft_s,e2e_s,mean_itl_s,completion_tokens,error
0,standard,noisy-tenant,standard-traffic,96,0.0,0.0008140900172293186,0.0008140900172293186,200,completed,,,0.06032209796831012,1.9909849693067372,0.02074222333268613,96,
1,standard,noisy-tenant,standard-traffic,96,0.08333333333333333,0.08433799026533961,0.0010046569320062843,200,completed,,,0.07125673769041896,2.034292579628527,0.021104987981098312,96,
2,standard,noisy-tenant,standard-traffic,96,0.16666666666666666,0.16754450928419828,0.0008778426175316267,200,completed,,,0.06343452073633671,2.060676885768771,0.021470619721077784,96,
3,standard,noisy-tenant,standard-traffic,96,0.25,0.25072995899245143,0.0007299589924514294,200,completed,,,0.06359806004911661,2.0883017210289836,0.02176657216423141,96,
4,standard,noisy-tenant,standard-traffic,96,0.3333333333333333,0.3343907380476594,0.0010574047143260823,200,completed,,,0.0746764219366014,2.1144457370974123,0.02191781938596759,96,
5,standard,quiet-tenant,standard-traffic,96,0.4166666666666667,0.41743655828759074,0.0007698916209240569,200,completed,,,0.06410501059144735,2.1427467330358922,0.02229499147443842,96,
6,standard,noisy-tenant,standard-traffic,96,0.5,0.5008169771172106,0.0008169771172106266,200,completed,,,0.08359623001888394,2.1476843780837953,0.02218906460229748,96,
7,standard,noisy-tenant,standard-traffic,96,0.5833333333333334,0.5854617981240153,0.002128464790681961,200,completed,,,0.06321060983464122,2.1331377937458456,0.02225456144460427,96,
8,standard,noisy-tenant,standard-traffic,96,0.6666666666666666,0.6679815272800624,0.0013148606133958074,200,completed,,,0.06283169984817505,2.1428437628783286,0.022357338193243228,96,
9,standard,noisy-tenant,standard-traffic,96,0.75,0.7508809962309897,0.0008809962309896946,200,completed,,,0.06833340507000685,2.1423886218108237,0.022299125555261808,96,
10,standard,noisy-tenant,standard-traffic,96,0.8333333333333334,0.8341354350559413,0.000802101722607973,200,completed,,,0.07640411285683513,2.146284435875714,0.02225295283020504,96,
11,standard,noisy-tenant,standard-traffic,96,0.9166666666666666,0.9175672950223088,0.0009006283556421968,200,completed,,,0.07683472288772464,2.159405288286507,0.02238983038051795,96,
12,standard,noisy-tenant,standard-traffic,96,1.0,1.0008310242556036,0.0008310242556035519,200,completed,,,0.07940732594579458,2.1683519068174064,0.022457628290579523,96,
13,standard,noisy-tenant,standard-traffic,96,1.0833333333333333,1.0841471240855753,0.0008137907522420829,200,completed,,,0.06367478100582957,2.150623449124396,0.022433597073760084,96,
14,standard,noisy-tenant,standard-traffic,96,1.1666666666666667,1.167534532956779,0.0008678662901122625,200,completed,,,0.067706105299294,2.153312562033534,0.022423295344236076,96,
15,standard,quiet-tenant,standard-traffic,96,1.25,1.250760702881962,0.0007607028819620609,200,completed,,,0.07434886135160923,2.1607516892254353,0.022431837384819343,96,
16,standard,noisy-tenant,standard-traffic,96,1.3333333333333333,1.3342558220028877,0.0009224886695544665,200,completed,,,0.8342387760058045,2.9056264981627464,0.02226912646344112,96,
17,standard,noisy-tenant,standard-traffic,96,1.4166666666666667,1.4184337533079088,0.0017670866412420327,200,completed,,,0.6527432817965746,2.7327020219527185,0.022361026561108006,96,
18,standard,noisy-tenant,standard-traffic,96,1.5,1.5007305811159313,0.0007305811159312725,200,completed,,,0.8822600110433996,2.963692681863904,0.022378494847886343,96,
19,standard,noisy-tenant,standard-traffic,96,1.5833333333333333,1.5842402009293437,0.0009068675960104411,200,completed,,,0.9637934183701873,3.0338477180339396,0.022255669673404064,96,
20,standard,noisy-tenant,standard-traffic,96,1.6666666666666667,1.6680005309171975,0.0013338642505307252,200,completed,,,0.977507381234318,3.058223561383784,0.022356085904863893,96,
21,standard,noisy-tenant,standard-traffic,96,1.75,1.7516660699620843,0.0016660699620842934,200,completed,,,0.9386379150673747,3.0292292339727283,0.022476963108024932,96,
22,standard,noisy-tenant,standard-traffic,96,1.8333333333333333,1.834745300002396,0.0014119666690628474,200,completed,,,0.9465493219904602,3.032982957083732,0.022422124020835404,96,
23,standard,noisy-tenant,standard-traffic,96,1.9166666666666667,1.9174576289951801,0.0007909623285133893,200,completed,,,0.9750802791677415,3.055286706890911,0.022340635548756326,96,
24,standard,noisy-tenant,standard-traffic,96,2.0,2.000304017215967,0.00030401721596717834,200,completed,,,0.9821082158014178,3.066231708973646,0.022890292220636384,96,
25,standard,quiet-tenant,standard-traffic,96,2.0833333333333335,2.084178796969354,0.0008454636360206713,200,completed,,,0.20807528914883733,2.289495670236647,0.02237814076505201,96,
26,standard,noisy-tenant,standard-traffic,96,2.1666666666666665,2.1669967360794544,0.00033006941278790336,200,completed,,,0.9684797031804919,3.0515826740302145,0.022384682795413398,96,
27,standard,noisy-tenant,standard-traffic,96,2.25,2.2503248462453485,0.0003248462453484535,200,completed,,,0.9935710858553648,3.0774197676219046,0.02240427549407687,96,
28,standard,noisy-tenant,standard-traffic,96,2.3333333333333335,2.334074324928224,0.0007409915948906054,200,completed,,,0.9829574571922421,3.061711293179542,0.022340630481560386,96,
29,standard,noisy-tenant,standard-traffic,96,2.4166666666666665,2.417106875218451,0.00044020855178450446,200,completed,,,0.99285754468292,3.0675630080513656,0.022306233258937956,96,
30,standard,noisy-tenant,standard-traffic,96,2.5,2.5003565843217075,0.0003565843217074871,200,completed,,,0.9876036797650158,3.069313619751483,0.02238160353754797,96,
31,standard,noisy-tenant,standard-traffic,96,2.5833333333333335,2.5837824433110654,0.00044910997773195405,200,completed,,,1.6986627667210996,3.793708327692002,0.022520513013405824,96,
