request_id,traffic_class,fairness_id,objective,max_tokens,scheduled_at_s,sent_at_s,launch_lag_s,http_status,outcome,drop_reason,retry_after,ttft_s,e2e_s,mean_itl_s,completion_tokens,error
0,interactive,tenant-a,premium-traffic,64,0.0,0.0009680148214101791,0.0009680148214101791,200,completed,,,0.05520955380052328,1.3182255080901086,0.021044489570582907,64,
1,batch,batch-a,best-effort-traffic,128,0.08333333333333333,0.08457119669765234,0.0012378633643190112,200,completed,,,0.0679236869327724,2.7571454509161413,0.021860847832650188,128,
2,interactive,tenant-a,premium-traffic,64,0.16666666666666666,0.16763382777571678,0.0009671611090501242,200,completed,,,0.08071188908070326,1.410503908060491,0.022923337721169508,64,
3,batch,batch-b,best-effort-traffic,128,0.25,0.2507751197554171,0.0007751197554171085,200,completed,,,0.06476700305938721,2.8043818660080433,0.02227133497732078,128,
4,batch,batch-a,best-effort-traffic,128,0.3333333333333333,0.3341096406802535,0.0007763073469201909,200,completed,,,0.06530168419703841,2.8750377553515136,0.02284155146226408,128,
5,interactive,tenant-b,premium-traffic,64,0.4166666666666667,0.417525592725724,0.0008589260590572967,200,completed,,,0.08460297202691436,1.4632151080295444,0.022560115621165663,64,
6,batch,batch-b,best-effort-traffic,128,0.5,0.5009065438061953,0.0009065438061952591,200,completed,,,0.06507411412894726,2.8866850649937987,0.022565816167742014,128,
7,interactive,tenant-a,premium-traffic,64,0.5833333333333334,0.584711005911231,0.0013776725778976706,200,completed,,,0.0767870950512588,1.4573049619793892,0.022627689295494167,64,
8,batch,batch-a,best-effort-traffic,128,0.6666666666666666,0.667355305980891,0.0006886393142243596,200,completed,,,0.09512162301689386,2.9518263787031174,0.022840448431670667,128,
9,batch,batch-b,best-effort-traffic,128,0.75,0.7509559779427946,0.0009559779427945614,200,completed,,,0.0890480070374906,2.9424909688532352,0.023000720974748895,128,
10,interactive,tenant-a,premium-traffic,64,0.8333333333333334,0.8342038486152887,0.0008705152819553641,200,completed,,,0.08327901223674417,1.4601484150625765,0.022549257247296513,64,
11,batch,batch-a,best-effort-traffic,128,0.9166666666666666,0.918119590729475,0.0014529240628083917,200,completed,,,0.08813065616413951,2.9455088921822608,0.023041317952916987,128,
12,interactive,tenant-a,premium-traffic,64,1.0,1.0009011416696012,0.000901141669601202,200,completed,,,0.07304558111354709,1.445533050224185,0.0224917801478725,64,
13,batch,batch-b,best-effort-traffic,128,1.0833333333333333,1.084041133057326,0.0007077997239928191,200,completed,,,0.07671338459476829,2.9369708728045225,0.023252077870131508,128,
14,batch,batch-a,best-effort-traffic,128,1.1666666666666667,1.1674504848197103,0.000783818153043514,200,completed,,,0.0817982298322022,2.941561766900122,0.023247073544567922,128,
15,interactive,tenant-b,premium-traffic,64,1.25,1.2511847158893943,0.0011847158893942833,200,completed,,,0.06598775507882237,1.4332199981436133,0.022409421193306564,64,
16,batch,batch-b,best-effort-traffic,128,1.3333333333333333,1.3337555467151105,0.00042221338177728107,200,completed,,,0.07608235394582152,2.932573708239943,0.023215805471882345,128,
17,interactive,tenant-a,premium-traffic,64,1.4166666666666667,1.4177909987047315,0.0011243320380647237,200,completed,,,0.2536393483169377,1.6278064269572496,0.022523752932787917,64,
18,batch,batch-a,best-effort-traffic,128,1.5,1.501001670025289,0.0010016700252890587,200,completed,,,1.0337927378714085,3.937624734826386,0.023414475054690433,128,
19,batch,batch-b,best-effort-traffic,128,1.5833333333333333,1.5836510909721255,0.0003177576387922709,200,completed,,,1.929941640701145,4.755674258805811,0.023159221623886804,128,
20,interactive,tenant-a,premium-traffic,64,1.6666666666666667,1.6680019027553499,0.0013352360886831338,200,completed,,,0.2994681419804692,1.7200819673016667,0.02327752285102596,64,
21,batch,batch-a,best-effort-traffic,128,1.75,1.7508184239268303,0.0008184239268302917,200,completed,,,1.941037711687386,4.762522544711828,0.022936839375614634,128,
22,interactive,tenant-a,premium-traffic,64,1.8333333333333333,1.8344202060252428,0.0010868726919095462,200,completed,,,0.28363433573395014,1.744131708983332,0.023939265953529566,64,
23,batch,batch-b,best-effort-traffic,128,1.9166666666666667,1.9168798457831144,0.0002131791164476926,200,completed,,,1.8404093231074512,4.662452307064086,0.02293952027472054,128,
24,batch,batch-a,best-effort-traffic,128,2.0,2.0010891780257225,0.0010891780257225037,429,rejected,rejected-saturated,,,0.004718214739114046,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
25,interactive,tenant-b,premium-traffic,64,2.0833333333333335,2.083752078935504,0.0004187456021704783,200,completed,,,0.273585116956383,1.7408375260420144,0.024449249318179985,64,
26,batch,batch-b,best-effort-traffic,128,2.1666666666666665,2.166998819913715,0.0003321532470486055,429,rejected,rejected-saturated,,,0.005286435130983591,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
27,interactive,tenant-a,premium-traffic,64,2.25,2.2504111509770155,0.0004111509770154953,200,completed,,,0.4763729446567595,1.9485872378572822,0.024948664633083647,64,
28,batch,batch-a,best-effort-traffic,128,2.3333333333333335,2.3337090220302343,0.0003756886969008555,429,rejected,rejected-saturated,,,0.004386194981634617,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
29,batch,batch-b,best-effort-traffic,128,2.4166666666666665,2.4171321536414325,0.0004654869747660051,429,rejected,rejected-saturated,,,0.0063523463904857635,,0,inference error: ResourceExhausted - request rejected pre-queue: queue at capacity
30,interactive,tenant-a,premium-traffic,64,2.5,2.5004928847774863,0.0004928847774863243,200,completed,,,0.40192584227770567,1.8770523378625512,0.02458154009655118,64,
